Temp;COL1;COL6;COL2;COL3;COL4
5;0.09286;0.07143;0.08214;0.06071;0.09643
5;0.09286;0.08929;0.08571;0.06071;0.10000
5;0.10000;0.08929;0.08571;0.07143;0.08929
5;0.08929;0.08214;0.09286;0.06786;0.09286
10;0.13929;0.14643;0.13214;0.08214;0.12500
10;0.15000;0.15000;0.12857;0.08571;0.12500
10;0.14286;0.13929;0.13214;0.08571;0.12143
10;0.14286;0.14643;0.14286;0.09286;0.12143
15;0.25714;0.27143;0.25000;0.21071;0.25357
15;0.27143;0.28214;0.26429;0.21786;0.27143
15;0.26429;0.30000;0.28214;0.21071;0.28929
15;0.26786;0.30714;0.29286;0.20714;0.25714
20;0.37857;0.35714;0.35714;0.33571;0.36786
20;0.37857;0.36429;0.37143;0.34643;0.35714
20;0.35000;0.38929;0.37500;0.36071;0.38214
20;0.37857;0.34286;0.36429;0.34286;0.37857
25;0.39643;0.37857;0.40000;0.36071;0.39643
25;0.38214;0.37857;0.40357;0.36071;0.37857
25;0.38929;0.39286;0.39643;0.35357;0.38214
25;0.36429;0.37857;0.38929;0.36429;0.37500
30;0.37500;0.30714;0.32500;0.28571;0.27857
30;0.38929;0.29286;0.30000;0.29643;0.32500
30;0.37857;0.25714;0.27500;0.23214;0.30714
30;0.37143;0.27857;0.29286;0.22857;0.28929
35;0.10357;0.06786;0.05357;0.05000;0.07500
35;0.11429;0.06429;0.06071;0.03929;0.06429
35;0.08571;0.06429;0.05357;0.05357;0.06786
35;0.09286;0.06429;0.05357;0.05357;0.07857
